title,source,reservoir_name,country,annual_sedimentation_rate,sand_fraction
"Effect of reservoir management on the efficiency of a sediment bypass tunnel: Case study of Solis Reservoir, Switzerland",INTERNATIONAL JOURNAL OF SEDIMENT RESEARCH,Solis Reservoir,Switzerland,0.09%,
Multidecadal Sediment Balance Modelling of a Cascade of Alpine Reservoirs and Perspectives Based on Climate Warming,Water,Grimsel,Switzerland,0.08%,
Multidecadal Sediment Balance Modelling of a Cascade of Alpine Reservoirs and Perspectives Based on Climate Warming,Water,Oberaar,Switzerland,0.04%,
"Drivers, Impacts and Mitigation of Increased Sedimentation in the Hydropower Reservoirs of East Africa",Land,,Tanzania,3.27%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Turkey,0.70%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Turkey,0.68%,
Determination of sediment deposition of Hasanlar Dam using bathymetric and remote sensing studies,Natural Hazards,Hasanlar Dam reservoir,Turkey,0.65%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Turkey,0.65%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Turkey,0.63%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Turkey,0.63%,
AN ANALYSIS OF BATHYMETRIC CHANGES IN ALTINAPA RESERVOIR,carpathian Journal of Earth and Environmental Sciences,ALTINAPA RESERVOIR,Turkey,0.44%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,Uganda,3.93%,
"The character, volume and implications of sediment impounded in mill dams in Scotland: the case of the Baldernock Mill dam in East Dunbartonshire",EARTH AND ENVIRONMENTAL SCIENCE TRANSACTIONS OF THE ROYAL SOCIETY OF EDINBURGH,Baldernock Mill dam,UK,0.21%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Pomme de Terre,USA,2.90%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Stockton,USA,2.20%,
Sustaining United States reservoir storage capacity: Need for a new paradigm,Journal of Hydrology,,USA,2.00%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Hillsdale,USA,1.50%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Melvern,USA,1.20%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Long Branch,USA,1.20%,
Numerical modeling of sediment flushing from Lewis and Clark Lake,Numerical modeling of sediment flushing from Lewis and Clark Lake,Lewis and Clark Lake,USA,1.17%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,USA,1.14%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Wilson,USA,1.10%,
Sustaining United States reservoir storage capacity: Need for a new paradigm,Journal of Hydrology,,USA,1.00%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Milford Lake,USA,1.00%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Perry,USA,1.00%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Pomona,USA,0.90%,
A Study of the Sedimentation and Storage Capacity Depletion of a Reservoir,SLOVAK JOURNAL OF CIVIL ENGINEERING,Tuttle Creek,USA,0.89%,
A Study of the Sedimentation and Storage Capacity Depletion of a Reservoir,SLOVAK JOURNAL OF CIVIL ENGINEERING,Toronto,USA,0.80%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Clinton,USA,0.80%,
A Study of the Sedimentation and Storage Capacity Depletion of a Reservoir,SLOVAK JOURNAL OF CIVIL ENGINEERING,John Redmond,USA,0.76%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Harry S Truman,USA,0.70%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Smithville,USA,0.70%,
A Study of the Sedimentation and Storage Capacity Depletion of a Reservoir,SLOVAK JOURNAL OF CIVIL ENGINEERING,Kanopolis,USA,0.55%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,USA,0.55%,
Sustaining United States reservoir storage capacity: Need for a new paradigm,Journal of Hydrology,,USA,0.50%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,USA,0.49%,
Sustaining United States reservoir storage capacity: Need for a new paradigm,Journal of Hydrology,,USA,0.40%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Gavins Point,USA,0.40%,
Examining Storage Capacity Loss and Sedimentation Rate of Large Reservoirs in the Central U.S. Great Plains,Water,Kansas,USA,0.33%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Harlan Country,USA,0.30%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Fort Randall,USA,0.30%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Big Bend,USA,0.30%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,USA,0.26%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,USA,0.25%,
Sustaining United States reservoir storage capacity: Need for a new paradigm,Journal of Hydrology,,USA,0.20%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Tuttle Creek,USA,0.20%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Kanopolis,USA,0.20%,
A Study of the Sedimentation and Storage Capacity Depletion of a Reservoir,SLOVAK JOURNAL OF CIVIL ENGINEERING,Cheney,USA,0.12%,
Sustaining United States reservoir storage capacity: Need for a new paradigm,Journal of Hydrology,,USA,0.10%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Oahe,USA,0.10%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Garrison,USA,0.10%,
Sedimentation and sustainability of western American reservoirs,WATER RESOURCES RESEARCH,Fort Peck,USA,0.10%,
"Texture, spatial distribution, and rate of reservoir sedimentation within a highly erosive, cultivated watershed: Grenada Lake, Mississippi - art. no. W01005",WATER RESOURCES RESEARCH,Grenada Lake,USA,0.06%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,USA,0.06%,
"Assessing sediment-induced storage capacity loss in the Hisorak Reservoir, Uzbekistan",Watershed Ecology and the Environment,Hisorak Reservoir,Uzbekistan,0.55 %,
Understanding sedimentation process in the Makoye reservoir of Southern Zambia,Journal of Geography and Earth Sciences,Makoye reservoir,Zambia,2.23%,
Estimation of small reservoir sedimentation in semi-arid Southern Zimbabwe,Journal of Water Resource and Protection,Mutangi reservoir,Zimbabwe,3.08%,
Estimation of Reservoir Capacity and Sedimentation Rate Using Direct and Indirect Methods,International Journal of Earth Science and Geophysics,Chesa dam,Zimbabwe,2.70%,
