title,source,reservoir_name,country,annual_sedimentation_rate,sand_fraction
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Boschi,Italy,0.97%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Benzone,Italy,0.97%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Alanno,Italy,0.93%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Comunelli,Italy,0.90%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Conza,Italy,0.89%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Dazarè,Italy,0.85%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Ozola,Italy,0.83%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Gammauta,Italy,0.81%,
LOSS OF WATER STORAGE CAPACITY OF RESERVOIRS IN SOUTHERN ITALY: ECONOMIC IMPLICANCES OF SEDIMENTATION,"Proceedings of the OECD Workshop on Agriculture and Water: Sustainability, Markets and Policies,Adelaide, Australia. 2005.",Cedrino,Italy,0.80%,
Assessment of current reservoir sedimentation rate and storage capacity loss: An Italian overview,Journal of Environmental Management,Roccasparvera,Italy,0.75%,
